,stars,url,forks,language,size,subscribers,network,issues,watchers,pulls,commits,private,license
0,346019,https://github.com/freeCodeCamp/freeCodeCamp.git,28631,TypeScript,315892,8471,28631,145,346019,27,30441,False,"BSD 3-Clause ""New"" or ""Revised"" License"
1,195821,https://github.com/vuejs/vue.git,32118,JavaScript,27949,6126,32118,569,195821,242,3227,False,MIT License
2,191817,https://github.com/public-apis/public-apis.git,22142,Python,5423,3527,22142,1,191817,0,4525,False,MIT License
3,187981,https://github.com/facebook/react.git,38681,JavaScript,178526,6635,38681,924,187981,250,14974,False,MIT License
4,164934,https://github.com/tensorflow/tensorflow.git,86752,C++,896271,7860,86752,2417,164934,202,129325,False,Apache License 2.0
5,157260,https://github.com/twbs/bootstrap.git,76660,JavaScript,201504,6921,76660,343,157260,119,21711,False,MIT License
6,145127,https://github.com/ohmyzsh/ohmyzsh.git,24036,Shell,9870,2681,24036,619,145127,417,6611,False,MIT License
7,140911,https://github.com/trekhleb/javascript-algorithms.git,23404,JavaScript,4493,4286,23404,245,140911,142,1032,False,MIT License
8,140530,https://github.com/flutter/flutter.git,22047,Dart,198637,3563,22047,10714,140530,181,28947,False,"BSD 3-Clause ""New"" or ""Revised"" License"
9,136003,https://github.com/TheAlgorithms/Python.git,35547,Python,12536,6004,35547,254,136003,223,2413,False,MIT License
10,131692,https://github.com/microsoft/vscode.git,22367,TypeScript,494337,3107,22367,6393,131692,288,96548,False,MIT License
11,123007,https://github.com/airbnb/javascript.git,23622,JavaScript,3512,3852,23622,133,123007,47,1919,False,MIT License
12,112864,https://github.com/ossu/computer-science.git,15500,None,1119,5205,15500,12,112864,5,931,False,MIT License
13,102723,https://github.com/facebook/react-native.git,22095,JavaScript,849189,3676,22095,2244,102723,321,24682,False,Other
14,101689,https://github.com/electron/electron.git,13526,C++,117845,2932,13526,1627,101689,87,26350,False,MIT License
15,99161,https://github.com/golang/go.git,14778,Go,305774,3508,14778,7803,99161,260,52657,False,Other
16,95012,https://github.com/facebook/create-react-app.git,24538,JavaScript,23096,1925,24538,1651,95012,337,2762,False,MIT License
17,93367,https://github.com/axios/axios.git,9506,JavaScript,4786,1213,9506,258,93367,12,1196,False,MIT License
18,92701,https://github.com/justjavac/free-programming-books-zh_CN.git,26114,None,1028,5964,26114,31,92701,30,911,False,GNU General Public License v3.0
